OrderID,RetuenClean
24193,Late Delivery
67804,Wrong Item
44800,Late Delivery
50694,
12653,Wrong Item
90841,Damaged
18291,Late Delivery
6335,Wrong Item
29785,Damaged
108296,Wrong Item
522,
9325,Late Delivery
26074,
137417,Late Delivery
99990,Changed Mind
124234,
9484,Wrong Item
132926,Damaged
114893,Changed Mind
11692,Damaged
58658,
52917,Damaged
49115,
107183,Wrong Item
27868,Late Delivery
103007,
31416,Changed Mind
91275,Changed Mind
13071,Changed Mind
105402,Late Delivery
19628,Wrong Item
1584,Damaged
76943,Late Delivery
143480,
81659,Late Delivery
108774,Changed Mind
70913,Changed Mind
140798,Late Delivery
76154,Changed Mind
65009,
129183,
144728,Changed Mind
18285,Changed Mind
52083,Damaged
28833,Late Delivery
46019,Changed Mind
97495,Changed Mind
28319,Changed Mind
28019,Damaged
96748,Wrong Item
132055,Late Delivery
32387,Wrong Item
16734,Damaged
41012,Changed Mind
32088,Damaged
101055,Changed Mind
13863,Damaged
143748,Damaged
134671,Late Delivery
115525,Wrong Item
33696,Late Delivery
15946,Damaged
35363,Wrong Item
135085,Wrong Item
60372,Damaged
48142,Damaged
111360,Late Delivery
91344,Changed Mind
14078,Damaged
113142,Changed Mind
87325,Damaged
108396,
54883,
93115,Late Delivery
128013,Damaged
100692,Changed Mind
35672,
148425,Late Delivery
134101,Damaged
9636,
32030,Changed Mind
33386,Damaged
144710,Changed Mind
21483,Changed Mind
19928,Late Delivery
63745,Late Delivery
29347,Changed Mind
99288,Late Delivery
143127,
135308,Damaged
79993,Wrong Item
124864,Late Delivery
94642,Damaged
77186,Late Delivery
10907,Changed Mind
134648,Changed Mind
82932,Late Delivery
36499,
41893,Damaged
136983,Damaged
27140,Wrong Item
51915,Changed Mind
121546,Late Delivery
114188,Damaged
139268,
116890,Changed Mind
139414,Late Delivery
121766,Damaged
26452,Late Delivery
64039,Damaged
14385,Wrong Item
124614,Damaged
90606,Late Delivery
83625,Changed Mind
127425,Late Delivery
16938,Wrong Item
75845,Wrong Item
86982,Late Delivery
77728,Wrong Item
81353,
71096,
17444,Damaged
29271,Changed Mind
84861,Damaged
47118,Late Delivery
14566,Damaged
8025,Damaged
83925,Wrong Item
72414,Late Delivery
9744,Damaged
129865,Wrong Item
22764,Changed Mind
122402,Changed Mind
70807,Wrong Item
85031,Changed Mind
73071,Wrong Item
9036,Damaged
20436,Damaged
102767,Late Delivery
91175,Changed Mind
36224,
131639,Wrong Item
124081,Wrong Item
10458,Wrong Item
145051,Wrong Item
128061,Changed Mind
130468,Damaged
129271,Damaged
63695,Changed Mind
10753,Damaged
80835,Late Delivery
122704,Damaged
144584,Damaged
137631,Wrong Item
5707,Wrong Item
106432,Damaged
125471,
28820,Wrong Item
116132,Late Delivery
101616,
37306,
142845,Damaged
103466,Late Delivery
21143,Damaged
27751,
3143,Wrong Item
71303,
123329,
93312,Damaged
114777,Late Delivery
86306,Late Delivery
60394,Wrong Item
69112,
66397,
89952,
116113,
84817,Wrong Item
52337,Wrong Item
47682,Late Delivery
112884,
115599,
69796,Late Delivery
143960,
74761,
80946,Wrong Item
132963,Changed Mind
149758,Damaged
84879,
42788,Wrong Item
6939,Damaged
97154,Damaged
144143,Changed Mind
4768,Wrong Item
63154,
122335,Late Delivery
20969,
32593,Late Delivery
66866,Late Delivery
72321,
1478,Late Delivery
61958,Late Delivery
149767,Damaged
55393,
109439,Damaged
101381,Late Delivery
16466,Changed Mind
131465,Damaged
114057,Late Delivery
106438,Damaged
47642,Wrong Item
121500,Late Delivery
120095,
79307,Late Delivery
5699,Damaged
121379,Late Delivery
137542,Changed Mind
19187,Late Delivery
105000,
106458,Late Delivery
74463,Late Delivery
112582,Wrong Item
135753,
67814,
78457,Changed Mind
46614,
1159,
69530,Changed Mind
85183,Damaged
149462,Changed Mind
142968,
105067,Wrong Item
61997,Late Delivery
27906,Damaged
121140,Changed Mind
85061,Wrong Item
131472,Damaged
2640,Wrong Item
7488,Changed Mind
80276,Changed Mind
105568,Wrong Item
99597,Damaged
42421,Changed Mind
131709,Wrong Item
80958,Late Delivery
68588,Late Delivery
131918,Late Delivery
113864,Late Delivery
13858,Damaged
80812,Damaged
87834,Late Delivery
83151,
44064,Changed Mind
131515,Damaged
141596,Changed Mind
66419,
100605,Damaged
133173,Damaged
22116,Damaged
40393,Damaged
25616,
92385,Changed Mind
74657,
24009,Wrong Item
29878,Damaged
23839,
38497,Wrong Item
21549,
81663,Changed Mind
77965,Late Delivery
143676,Changed Mind
149073,Late Delivery
135255,Damaged
21488,
45360,Damaged
43520,Late Delivery
110901,Late Delivery
67561,Late Delivery
82814,
71944,Damaged
145722,Wrong Item
100400,
146448,Damaged
6738,Wrong Item
117599,Wrong Item
104869,Changed Mind
99721,Late Delivery
62222,Damaged
124349,Changed Mind
111327,Damaged
110281,Damaged
49225,Wrong Item
148798,
79130,Changed Mind
50420,Damaged
37123,Wrong Item
36044,Changed Mind
50525,Damaged
120791,
57251,Damaged
14409,Late Delivery
45554,Wrong Item
1716,Damaged
39976,Damaged
122525,Late Delivery
56718,Changed Mind
41987,Changed Mind
17834,Changed Mind
134961,
58093,
1580,Damaged
89761,Damaged
31974,Changed Mind
144326,Changed Mind
83206,Late Delivery
8152,Late Delivery
99440,Wrong Item
63019,Wrong Item
83053,Changed Mind
47750,Wrong Item
33907,Wrong Item
31893,Changed Mind
127541,Late Delivery
76809,Damaged
18074,
95034,Damaged
20360,
136074,Damaged
72288,Wrong Item
57085,
122592,Changed Mind
14240,Late Delivery
60486,Wrong Item
138213,
142585,Damaged
79761,Late Delivery
145228,Changed Mind
149415,Wrong Item
32433,Damaged
84964,Wrong Item
102831,Wrong Item
114284,Damaged
98689,
93440,
5056,Changed Mind
93784,Late Delivery
16573,
75054,
50121,Changed Mind
31228,Late Delivery
42273,
51155,
79796,Damaged
138300,
93743,Wrong Item
67222,Damaged
14300,Late Delivery
89095,Changed Mind
22004,Wrong Item
95676,
49618,Late Delivery
91031,Damaged
110400,Wrong Item
96100,Wrong Item
136255,Wrong Item
58076,Damaged
34254,Wrong Item
65842,Late Delivery
79302,Changed Mind
108148,Damaged
62560,Changed Mind
6682,Wrong Item
94963,
4295,Changed Mind
23698,Changed Mind
112497,Wrong Item
38767,Late Delivery
96637,
40030,Wrong Item
21155,Wrong Item
12988,
93371,Damaged
30654,Late Delivery
28565,Changed Mind
125466,Late Delivery
22344,Damaged
21010,Wrong Item
3145,Changed Mind
135137,Late Delivery
126264,Wrong Item
86214,Late Delivery
59059,Late Delivery
24006,Late Delivery
32682,Damaged
140333,Late Delivery
41643,Damaged
65370,
84099,Changed Mind
123408,Wrong Item
59603,Wrong Item
103974,Late Delivery
79801,
45184,Late Delivery
118133,Damaged
103484,Wrong Item
15442,Wrong Item
64160,Changed Mind
147456,
142157,
109214,Damaged
78975,Wrong Item
20567,Changed Mind
18069,Wrong Item
111124,
74378,Wrong Item
131721,Wrong Item
57654,Late Delivery
114547,Wrong Item
13723,Late Delivery
2722,Damaged
20481,Late Delivery
26635,
75879,Wrong Item
35725,Late Delivery
30090,
96109,Damaged
143116,Wrong Item
9268,Damaged
8631,Changed Mind
146515,Wrong Item
1145,
144783,Wrong Item
107252,Wrong Item
123420,Changed Mind
54273,Wrong Item
22327,Damaged
42879,Wrong Item
93122,Wrong Item
18212,Wrong Item
116099,Late Delivery
19300,Late Delivery
33420,Late Delivery
110084,Damaged
72614,Late Delivery
27530,
40489,Wrong Item
53646,
75346,
39537,Wrong Item
15246,Wrong Item
139585,Wrong Item
96584,Changed Mind
66258,Changed Mind
95680,
5497,
69433,Changed Mind
26999,Damaged
6206,Damaged
96803,
94609,Late Delivery
51158,Changed Mind
108083,
127803,Damaged
50831,Damaged
26002,
54906,Changed Mind
95903,Wrong Item
48813,Late Delivery
31582,Damaged
103894,
93045,Wrong Item
108848,
42245,Wrong Item
108704,Wrong Item
70324,Late Delivery
82856,
16666,
130878,
76754,Wrong Item
85625,Wrong Item
120974,Damaged
45132,Changed Mind
149619,Damaged
841,Damaged
24902,
51674,
73319,Wrong Item
27831,
10596,Wrong Item
60156,Late Delivery
141101,Late Delivery
129084,Late Delivery
9103,Wrong Item
32019,Damaged
129012,Late Delivery
125410,Late Delivery
122579,Changed Mind
109146,Late Delivery
46393,Late Delivery
63274,Changed Mind
61965,Wrong Item
57611,Wrong Item
70547,Changed Mind
74389,Damaged
129769,Wrong Item
142926,Wrong Item
137720,
67659,Wrong Item
88282,
77985,Late Delivery
125424,Late Delivery
80328,Changed Mind
123840,
61956,Wrong Item
92214,Wrong Item
95818,Late Delivery
85946,Wrong Item
99344,Late Delivery
51510,Late Delivery
88769,Wrong Item
72410,Late Delivery
55672,
13353,
73209,Changed Mind
117565,Changed Mind
148572,Wrong Item
114083,Damaged
94775,Late Delivery
86980,Wrong Item
146975,Late Delivery
77234,Changed Mind
132044,Wrong Item
85656,Damaged
73774,Late Delivery
149301,Wrong Item
34085,
8348,Damaged
135746,Late Delivery
25487,
84243,Late Delivery
73619,Damaged
47250,Damaged
129221,Wrong Item
93810,Late Delivery
29671,Wrong Item
11626,
122672,Changed Mind
74098,Wrong Item
32851,Damaged
63790,Changed Mind
71337,Wrong Item
10265,Damaged
112956,Damaged
63514,Damaged
145572,
3648,
94822,
49215,Wrong Item
60875,Wrong Item
3741,Changed Mind
115916,
58799,Damaged
105413,Late Delivery
65516,Late Delivery
6955,Changed Mind
149885,Late Delivery
89865,Late Delivery
37204,Changed Mind
85895,Changed Mind
125183,Wrong Item
37308,Damaged
94833,Changed Mind
107325,
120109,Damaged
21528,Late Delivery
29304,Damaged
36282,Wrong Item
32411,Wrong Item
85653,Changed Mind
113482,Damaged
28736,
86560,Late Delivery
92376,Wrong Item
100158,Late Delivery
109433,Wrong Item
138711,
7576,Late Delivery
13474,Damaged
23648,Wrong Item
90020,Wrong Item
70610,Changed Mind
143528,Damaged
38691,Wrong Item
135882,Changed Mind
143509,
133257,Damaged
23144,Late Delivery
107259,Changed Mind
24504,Changed Mind
80710,Late Delivery
69913,
38195,Wrong Item
81188,Late Delivery
123580,Damaged
147146,Damaged
38309,Damaged
137898,Late Delivery
14102,Changed Mind
39832,Changed Mind
112114,Damaged
117958,Wrong Item
4372,Late Delivery
139301,Late Delivery
77576,Late Delivery
38324,Wrong Item
2766,Damaged
1902,Late Delivery
10360,Changed Mind
128490,Changed Mind
30400,Late Delivery
87108,Late Delivery
122056,Changed Mind
121284,Late Delivery
49530,Wrong Item
56090,Late Delivery
48471,Late Delivery
51164,
69435,Late Delivery
53167,Damaged
46333,Changed Mind
58697,Wrong Item
49461,Late Delivery
97038,Damaged
46720,Changed Mind
90526,Late Delivery
84973,
101235,Changed Mind
11036,
45460,Damaged
93951,Damaged
64491,Damaged
70714,Wrong Item
123672,Changed Mind
54393,Late Delivery
129075,Late Delivery
33723,
119722,Wrong Item
6513,Late Delivery
79835,Damaged
6888,Changed Mind
137520,Wrong Item
115513,Late Delivery
8249,Damaged
106592,Damaged
148719,Damaged
79173,Late Delivery
12839,Changed Mind
78574,Late Delivery
38964,
143000,Wrong Item
102266,Wrong Item
76179,Wrong Item
38061,Wrong Item
4555,Wrong Item
8200,Late Delivery
20582,Changed Mind
81777,Wrong Item
146887,Changed Mind
148100,Late Delivery
70014,Wrong Item
56479,Wrong Item
58226,Wrong Item
135207,Late Delivery
123749,Damaged
3060,Changed Mind
41758,Wrong Item
124467,Changed Mind
45470,
7562,Changed Mind
114921,Changed Mind
40099,Damaged
268,Late Delivery
38513,Late Delivery
90475,
35178,Late Delivery
119244,Wrong Item
112316,
134838,
2092,
124590,Late Delivery
35874,Changed Mind
10551,Changed Mind
88215,Wrong Item
72899,
27987,Late Delivery
101686,Changed Mind
1356,Damaged
55050,
132836,Changed Mind
86656,
35225,Wrong Item
123718,Damaged
41161,Damaged
89361,Late Delivery
33211,Changed Mind
122642,Wrong Item
119631,Wrong Item
48907,Damaged
46813,Changed Mind
87550,Damaged
123142,Damaged
82401,Wrong Item
91857,Damaged
50478,Wrong Item
67728,Wrong Item
14107,Changed Mind
30850,Late Delivery
79854,Wrong Item
102539,Changed Mind
100744,Damaged
123310,Wrong Item
72725,Changed Mind
15236,Changed Mind
129437,Damaged
107310,Late Delivery
3223,Changed Mind
129244,Changed Mind
78450,Changed Mind
143443,Damaged
586,Late Delivery
147908,Changed Mind
141454,
99777,Late Delivery
6197,Wrong Item
64520,
15682,Wrong Item
251,
105954,
108082,Damaged
35268,Wrong Item
89127,Late Delivery
67035,Wrong Item
137666,Wrong Item
79585,Changed Mind
19888,Late Delivery
117789,Damaged
46128,Changed Mind
127823,Late Delivery
128060,Wrong Item
121363,Late Delivery
75409,Changed Mind
74074,Late Delivery
145422,Wrong Item
20519,Late Delivery
10609,
105180,Damaged
117920,Wrong Item
105857,Changed Mind
82123,Late Delivery
15272,Wrong Item
5086,
166,
39967,Late Delivery
128494,Late Delivery
143834,Damaged
80996,Late Delivery
115824,Damaged
125457,Late Delivery
118175,Late Delivery
133462,Wrong Item
83433,Late Delivery
139273,Late Delivery
8053,Wrong Item
83060,Wrong Item
88731,Changed Mind
118949,Wrong Item
64026,Late Delivery
88349,Wrong Item
53241,Damaged
32899,
78696,Late Delivery
26006,Late Delivery
32137,Damaged
90172,Late Delivery
23118,Changed Mind
46874,Late Delivery
141081,Wrong Item
14026,Late Delivery
136149,Wrong Item
20873,Changed Mind
94799,Wrong Item
107578,
24369,
109426,Late Delivery
50195,Wrong Item
54554,Damaged
30100,Late Delivery
80256,
90357,Changed Mind
123176,
53046,Late Delivery
63363,
116612,Late Delivery
138586,Late Delivery
3313,
8169,
65254,Late Delivery
139127,
52476,Damaged
74568,Wrong Item
144812,Late Delivery
33447,Damaged
26366,Changed Mind
18970,Changed Mind
51580,
53773,Wrong Item
19399,Late Delivery
132054,Changed Mind
39553,Late Delivery
78991,Wrong Item
126285,Late Delivery
9308,Wrong Item
96299,Late Delivery
48186,Damaged
135899,Late Delivery
56214,
99561,Wrong Item
78201,
39361,Damaged
132500,
48322,Wrong Item
140477,Late Delivery
